aircraft_type,name,engine_manufacturer,engine_model
ERCO,415-D Ercoupe,Continental,C75
AT43,42-300,Pratt & Whitney Canada,PW120
AT43,42-300F,Pratt & Whitney Canada,PW120
AT43,42-310,Pratt & Whitney Canada,PW121
AT43,42-310F,Pratt & Whitney Canada,PW121
AT43,42-320,Pratt & Whitney Canada,PW121
AT43,42-320F,Pratt & Whitney Canada,PW121
AT44,42-400MP,Pratt & Whitney Canada,PW121
AT44,42-420,Pratt & Whitney Canada,PW121
AT45,42-500,Pratt & Whitney Canada,PW127E
AT45,42-500F,Pratt & Whitney Canada,PW127E
AT45,42-500MP,Pratt & Whitney Canada,PW127E
AT45,42-512,Pratt & Whitney Canada,PW127E
AT46,42-600,Pratt & Whitney Canada,PW127M
C421,421 Golden Eagle,Continental,GTSIO-520-D
C421,421A Golden Eagle,Continental,GTSIO-520-D
C421,421B Golden Eagle,Continental,GTSIO-520G
C421,421C Golden Eagle,Continental,GTSIO-520-L;GTSIO-520-N
C425,425 Conquest I,Pratt & Whitney Canada,PT6A-112
C425,425 Corsair,Pratt & Whitney Canada,PT6A-112
B427,427,Pratt & Whitney Canada,PW207D
B429,429 GlobalRanger,Pratt & Whitney Canada,PW207D1
B430,430,Rolls Royce,250-C40B
C441,441 Conquest II,Garrett,TPE331-8-403S
LJ45,45,Garrett,TFE731-20-AR
LJ45,45XR,Garrett,TFE731-20BR
B47G,47D-1,Lycoming,TVO-435-F1A
B47G,47G,Franklin,O-335-1
B47G,47G-1,Lycoming,VO-435
B47G,47G-2,Lycoming,VO-435
B47G,47G-2-KH4,Lycoming,TVO-435-B1A
B47G,47G-2A,Lycoming,VO-435
B47G,47G-2A-1,Lycoming,VO-435
B47G,47G-3,Franklin,6VS-335-A.
B47G,47G-3B,Lycoming,TVO-345
B47G,47G-3B-1,Lycoming,TVO-345
B47G,47G-3B-2,Lycoming,TVO-345
B47G,47G-3B-2A,Lycoming,TVO-345
B47G,47G-3B-KH4,Lycoming,TVO-345-B1A;TVO-345-D1
B47G,47G-4,Lycoming,VO-540
B47G,47G-4A,Lycoming,VO-540
B47G,47G-5,Lycoming,VO-540
B47G,47G-5A,Lycoming,VO-540
B47G,47G-C4,Lycoming,VO-540
B47J,47J Ranger,Lycoming,VO-540
B47J,47J-2 Ranger,Lycoming,VO-540
B47J,47J-2A Ranger,Lycoming,VO-540
AC50,500,Lycoming,O-540-A
C500,500 Citation I,Pratt & Whitney Canada,JT-15D-1B
