identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
IAOG,GS 10,GS,TERMINAL,108700,,,,,,096.928,3.00,18,36.645972222,-6.366444444,113,LE,LERT,10,ES
IAOG,ILS 10,ILS-I,TERMINAL,108700,,,,,,96.928,,18,36.642666667,-6.323444444,113,LE,LERT,10,ES
IAOH,GS 28,GS,TERMINAL,109300,,,,,,270.017,3.00,18,40.708030556,-84.021163889,963,K5,KAOH,28,US
IAOH,ILS 28,ILS-I,TERMINAL,109300,,,,,,270.017,,18,40.706941667,-84.044466667,963,K5,KAOH,28,US
IAOO,GS 21,GS,TERMINAL,111100,,,,,,195.924,3.00,18,40.300319444,-78.317861111,1465,K6,KAOO,21,US
IAOO,ILS 21,ILS-I,TERMINAL,111100,,,,,,195.924,,18,40.285825000,-78.324211111,1465,K6,KAOO,21,US
IAOS,AOSTA DME-ILS,DME-ILS,TERMINAL,109750,34Y,1058000,1121000,0,,,,25,45.739805556,7.374972222,1791,LI,LIMW,,IT
IAOS,GS 27,GS,TERMINAL,109750,,,,,,269.210,5.00,18,45.739722222,7.375000000,1791,LI,LIMW,27,IT
IAOS,ILS 27,IGS,TERMINAL,109750,,,,,,269.210,,18,45.739722222,7.375027778,1791,LI,LIMW,27,IT
IAP,ALYKEL DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0.200,,,,25,69.299750000,87.315583333,597,UN,UOOO,,RU
IAP,FALEOLO INTL DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,-13.829244444,-172.019286111,58,NS,NSFA,,WS
IAP,GS 01,GS,TERMINAL,109500,,,,,,032.330,3.00,18,69.299750000,87.315611111,597,UN,UOOO,01,RU
IAP,GS 08,GS,TERMINAL,109900,,,,,,089.311,3.00,18,-13.829244444,-172.019286111,58,NS,NSFA,08,WS
IAP,GS 22,GS,TERMINAL,110900,,,,,,222.191,3.00,18,45.007305556,37.356055556,176,UR,URKA,22,RU
IAP,GS 30,GS,TERMINAL,111900,,,,,,310.913,3.00,18,51.810583333,39.240583333,515,UU,UUOO,30,RU
IAP,ILS 01,ILS-I,TERMINAL,109500,,,,,,32.330,,18,69.323027778,87.353388889,597,UN,UOOO,01,RU
IAP,ILS 08,ILS-I,TERMINAL,109900,,,,,,89.311,,18,-13.829825000,-171.990463889,58,NS,NSFA,08,WS
IAP,ILS 22,ILS-I,TERMINAL,110900,,,,,,222.191,,18,44.991250000,37.333388889,176,UR,URKA,22,RU
IAP,ILS 30,ILS-I,TERMINAL,111900,,,,,,310.913,,18,51.824083333,39.212722222,515,UU,UUOO,30,RU
IAP,VITYAZEVO DME-ILS,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0,,,,25,45.007305556,37.356055556,176,UR,URKA,,RU
IAPA,CENTENNIAL DME-ILS,DME-ILS,TERMINAL,111300,50X,1074000,1011000,0,,,,25,39.586972222,-104.850547222,5778,K2,KAPA,,US
IAPA,GS 35R,GS,TERMINAL,111300,,,,,,357.962,3.10,18,39.559713889,-104.848480556,5871,K2,KAPA,35R,US
IAPA,ILS 35R,ILS-I,TERMINAL,111300,,,,,,357.962,,18,39.586919444,-104.851602778,5871,K2,KAPA,35R,US
IAPC,GS 01L,GS,TERMINAL,111300,,,,,,020.663,3.00,18,38.210650000,-122.284547222,12,K2,KAPC,01L,US
IAPC,ILS 01L,ILS-I,TERMINAL,111300,,,,,,20.663,,18,38.224488889,-122.277344444,12,K2,KAPC,01L,US
IAPC,NAPA CO DME-ILS,DME-ILS,TERMINAL,111300,50X,1074000,1011000,0,,,,25,38.224402778,-122.276411111,35,K2,KAPC,,US
IAPL,ILS 04,LOC,TERMINAL,109300,,,,,,44.921,,18,44.895555556,-93.205547222,0,K3,KMSP,04,US
IAPN,GS 01,GS,TERMINAL,109700,,,,,,359.804,3.00,18,45.067577778,-83.559833333,681,K5,KAPN,01,US
IAPN,ILS 01,ILS-I,TERMINAL,109700,,,,,,359.804,,18,45.092422222,-83.561502778,681,K5,KAPN,01,US
IAPU,CHARLOTTE/DOUGLAS INTL DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,35.205911111,-80.952791667,699,K7,KCLT,,US
IAPU,GS 23,GS,TERMINAL,109500,,,,,,228.349,3.00,18,35.220041667,-80.933355556,738,K7,KCLT,23,US
IAPU,ILS 23,ILS-I,TERMINAL,109500,,,,,,228.349,,18,35.206494444,-80.953330556,738,K7,KCLT,23,US
IAPY,CAPT LUIS F GOMEZ DME-ILS,DME-ILS,TERMINAL,108900,26X,1050000,987000,0,,,,25,4.076400000,-73.554230556,1229,SK,SKAP,,CO
IAPY,GS 28,GS,TERMINAL,108900,,,,,,275.175,2.50,18,4.076400000,-73.554230556,1229,SK,SKAP,28,CO
IAPY,ILS 28,ILS-I,TERMINAL,108900,,,,,,275.175,,18,4.077266667,-73.576527778,1229,SK,SKAP,28,CO
IAQ,GS 23L,GS,TERMINAL,111100,,,,,,228.705,3.00,18,34.440897222,108.780616667,1562,ZL,ZLXY,23L,CN
IAQ,GS 29,GS,TERMINAL,110900,,,,,,300.117,3.00,18,51.115975000,-114.011327778,3546,CY,CYYC,29,CA
IAQ,ILS 23L,ILS-I,TERMINAL,111100,,,,,,228.705,,18,34.419441667,108.748919444,1562,ZL,ZLXY,23L,CN
IAQ,ILS 29,ILS-I,TERMINAL,110900,,,,,,300.117,,18,51.128211111,-114.040527778,3546,CY,CYYC,29,CA
IAQ,XIANYANG DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,25,34.440755556,108.780394444,1562,ZL,ZLXY,,CN
IAQA,GS 01,GS,TERMINAL,110100,,,,,,016.990,3.00,18,29.601088889,35.013158333,187,OJ,OJAQ,01,JO
