identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
YEU,YIWU VOR/DME,VOR-DME,ENROUTE,113200,79X,1103000,1166000,0,-5.000,,,130,29.332863889,120.030075000,285,ZS,,,CN
YEV,INUVIK VOR/DME,VOR-DME,ENROUTE,112500,72X,1096000,1159000,0,20.000,,,130,68.308069444,-133.548261111,268,CY,,,CA
YF,DAKAR VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,-8.000,,,130,14.744833333,-17.474777778,133,GO,,,SN
YF,WOLONG (TAIYUAN) NDB,NDB,ENROUTE,201,,,,,,,,50,37.876663889,112.410991667,,ZB,,,CN
YFA,FORT ALBANY NDB,NDB,ENROUTE,216,,,,,,,,50,52.206358333,-81.694511111,,CY,,,CA
YFB,FROBAY (IQALUIT) VOR,VOR,ENROUTE,117400,,,,,-28.000,,,130,63.741666667,-68.473333333,0,CY,,,CA
YFC,FREDERICTON VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,-18.000,,,130,45.894783333,-66.418902778,52,CY,,,CA
YFM,LA GRANDE-4 NDB,NDB,ENROUTE,332,,,,,,,,50,53.711325000,-73.702963889,,CY,,,CA
YFS,FORT SIMPSON VOR/DME,VOR-DME,ENROUTE,117900,126X,1150000,1213000,0,20.000,,,130,61.773875000,-121.298763889,590,CY,,,CA
YFT,MAKKOVIK NDB,NDB,ENROUTE,339,,,,,,,,50,55.080733333,-59.188308333,,CY,,,CA
YFY,FROBAY (IQALUIT) NDB,NDB,ENROUTE,204,,,,,,,,75,63.733447222,-68.547919444,,CY,,,CA
YG,ENGE (MOSS) NDB,NDB,ENROUTE,396,,,,,,,,25,59.368850000,10.829461111,,EN,,,NO
YGH,FORT GOOD HOPE VOR/DME,VOR-DME,ENROUTE,112300,70X,1094000,1157000,0,20.000,,,130,66.236263889,-128.623050000,290,CY,,,CA
YGK,KINGSTON NDB,NDB,ENROUTE,263,,,,,,,,50,44.296805556,-76.604538889,,CY,,,CA
YGL,LA GRANDE RIVIERE VOR/DME,VOR-DME,ENROUTE,112200,59X,1083000,1020000,0,-16.000,,,125,53.625511111,-77.716233333,626,CY,,,CA
YGP,GASPE VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,0,-19.000,,,125,48.763138889,-64.404666667,338,CY,,,CA
YGQ,GERALDTON VOR/DME,VOR-DME,ENROUTE,114200,89X,1113000,1176000,0,-5.000,,,125,49.769719444,-86.984322222,1221,CY,,,CA
YGR,GRINDSTONE VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,0,-20.000,,,130,47.430166667,-61.773930556,45,CY,,,CA
YGV,HAVRE ST-PIERRE NDB,NDB,ENROUTE,344,,,,,,,,50,50.264722222,-63.665277778,,CY,,,CA
YGX,GILLAM NDB,NDB,ENROUTE,212,,,,,,,,50,56.353250000,-94.700027778,,CY,,,CA
YHD,DRYDEN NDB,NDB,ENROUTE,413,,,,,,,,25,49.864438889,-92.849200000,,CY,,,CA
YHD,YINCHUAN VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,0,-3.000,,,130,38.346666667,106.410000000,3743,ZL,,,CN
YHK,GJOA HAVEN NDB,NDB,ENROUTE,236,,,,,,,,50,68.626127778,-95.858930556,,CY,,,CA
YHR,CHEVERY NDB,NDB,ENROUTE,276,,,,,,,,50,50.464811111,-59.634166667,,CY,,,CA
YHT,YAHOTYN DME,DME,ENROUTE,117000,117X,1141000,1204000,0,,,,130,50.265111111,31.794527778,451,UK,,,UA
YHY,HAY RIVER VOR/DME,VOR-DME,ENROUTE,113900,86X,1110000,1173000,0,17.000,,,130,60.836266667,-115.803269444,576,CY,,,CA
YHZ,HALIFAX VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,0,-18.000,,,150,44.923055556,-63.401944444,650,CY,,,CA
YI,RUYIGI NDB,NDB,ENROUTE,275,,,,,,,,25,-3.474755556,30.248180556,,HB,,,BI
YIF,ST-AUGUSTIN NDB,NDB,ENROUTE,201,,,,,,,,25,51.188702778,-58.651919444,,CY,,,CA
YIH,SANXIA VOR/DME,VOR-DME,ENROUTE,116900,116X,1140000,1203000,0,-3.000,,,130,30.563333333,111.476666667,705,ZH,,,CN
YIK,IVUJIVIK NDB,NDB,ENROUTE,225,,,,,,,,50,62.414133333,-77.924366667,,CY,,,CA
YIN,YINGDE VOR/DME,VOR-DME,ENROUTE,113500,82X,1106000,1169000,0,-2.000,,,130,24.190000000,113.415000000,548,ZG,,,CN
YIO,POND INLET NDB,NDB,ENROUTE,214,,,,,,,,25,72.693119444,-77.950963889,,CY,,,CA
YIV,ISLAND LAKE NDB,NDB,ENROUTE,300,,,,,,,,50,53.853900000,-94.653405556,,CY,,,CA
YJ,VICTORIA NDB,NDB,ENROUTE,200,,,,,,,,50,48.643888889,-123.399444444,,CY,,,CA
YJI,BROUGHTON NDB,NDB,ENROUTE,237,,,,,,,,50,67.562130556,-64.018413889,,CY,,,CA
YJN,ST-JEAN VOR/DME,VOR-DME,ENROUTE,115800,105X,1129000,1192000,0,-16.000,,,130,45.255811111,-73.321280556,189,CY,,,CA
YJQ,BELLA BELLA NDB,NDB,ENROUTE,325,,,,,,,,25,52.185277778,-128.113611111,,CY,,,CA
YJT,STEPHENVILLE VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,-18.000,,,130,48.582475000,-58.669200000,1190,CY,,,CA
YJU,YANGJU VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,0,-8.000,,,40,37.748055556,126.991111111,1368,RK,,,KR
YK,BRILLIANT (CASTLEGAR) NDB,NDB,ENROUTE,269,,,,,,,,25,49.325269444,-117.633280556,,CY,,,CA
YK,CAGUR (YANKTON) NDB,NDB,TERMINAL,347,,,,,,,,25,42.843716667,-97.302122222,,K3,KYKN,,US
YKA,KAMLOOPS NDB,NDB,ENROUTE,223,,,,,,,,50,50.683505556,-120.335275000,,CY,,,CA
YKE,YAKUSHIMA VOR/DME,VOR-DME,ENROUTE,117000,117X,1141000,1204000,0,-7.000,,,130,30.379447222,130.662716667,189,RJ,,,JP
YKG,KANGIQSUJUAQ NDB,NDB,ENROUTE,358,,,,,,,,50,61.590725000,-71.928633333,,CY,,,CA
YKJ,KEY LAKE VOR/DME,VOR-DME,ENROUTE,115300,100X,1124000,1187000,0,10.000,,,125,57.167225000,-105.841022222,1915,CY,,,CA
YKL,SCHEFFERVILLE VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,-22.000,,,130,54.814491667,-66.754894444,2035,CY,,,CA
YKM,YAKIMA VORTAC,VORTAC,ENROUTE,116000,107X,1131000,1194000,0,21.000,,,130,46.570241667,-120.444636111,984,K1,,,US
YKN,YANKTON VOR/DME,VOR-DME,ENROUTE,111400,51X,1075000,1012000,0,7.000,,,40,42.918386111,-97.384975000,1300,K3,,,US
YKO,AKULIVIK NDB,NDB,ENROUTE,265,,,,,,,,50,60.819355556,-78.154977778,,CY,,,CA
YKQ,WASKAGANISH (FORT RUPERT) NDB,NDB,ENROUTE,351,,,,,,,,50,51.487063889,-78.744872222,,CY,,,CA
YKS,GS 05,GS,TERMINAL,109500,,,,,,041.539,3.00,18,6.894572222,-5.372255556,702,DI,DIYO,05,CI
YKS,ILS 05,ILS-I,TERMINAL,109500,,,,,,41.539,,18,6.915069444,-5.355472222,702,DI,DIYO,05,CI
YKS,YAMOUSSOUKRO DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,6.894572222,-5.372255556,656,DI,DIYO,,CI
YKV,YUKSEKOVA (HAKKARI) NDB,NDB,TERMINAL,420,,,,,,,,25,37.549166667,44.242500000,,LT,LTCW,,TR
YKV,YUKSEKOVA VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,5.000,,,130,37.549166667,44.242500000,6119,LT,,,TR
YKX,KIRKLAND LAKE NDB,NDB,ENROUTE,201,,,,,,,,25,48.226927778,-79.869902778,,CY,,,CA
YL,LYNN LAKE NDB,NDB,ENROUTE,395,,,,,,,,50,56.830833333,-101.070277778,,CY,,,CA
YLA,AUPALUK NDB,NDB,ENROUTE,248,,,,,,,,50,59.303127778,-69.600816667,,CY,,,CA
YLA,ILHA (RIO DE JANEIRO) NDB,NDB,ENROUTE,330,,,,,,,,50,-22.786991667,-43.167727778,,SB,,,BR
YLC,KIMMIRUT (LAKE HARBOUR) NDB,NDB,ENROUTE,277,,,,,,,,50,62.851027778,-69.874750000,,CY,,,CA
YLD,CHAPLEAU NDB,NDB,ENROUTE,335,,,,,,,,50,47.756241667,-83.410008333,,CY,,,CA
YLH,ILHEUS DME,DME,ENROUTE,114000,87X,1111000,1174000,0,,,,130,-14.814672222,-39.032850000,43,SB,,,BR
YLH,ILHEUS NDB,NDB,ENROUTE,305,,,,,,,,50,-14.812166667,-39.036666667,,SB,,,BR
YLJ,MEADOW LAKE NDB,NDB,ENROUTE,406,,,,,,,,25,54.138450000,-108.651450000,,CY,,,CA
YLL,LLOYDMINSTER NDB,NDB,ENROUTE,241,,,,,,,,25,53.313197222,-110.082263889,,CY,,,CA
YLQ,LA TUQUE NDB,NDB,ENROUTE,289,,,,,,,,50,47.416111111,-72.786447222,,CY,,,CA
YLT,IRUMA TACAN,TACAN,ENROUTE,110600,43X,1067000,1004000,0,-8.000,,,130,35.839661111,139.415161111,295,RJ,,,JP
YLU,KANGIQSUALUJJUAQ NDB,NDB,ENROUTE,295,,,,,,,,50,58.707280556,-65.989655556,,CY,,,CA
YLX,YULIN VOR/DME,VOR-DME,ENROUTE,116700,114X,1138000,1201000,0,-4.000,,,130,38.381666667,109.578333333,3921,ZL,,,CN
YME,MIYAZU VOR/DME,VOR-DME,ENROUTE,112600,73X,1097000,1160000,0,-7.000,,,130,35.480691667,135.137022222,2428,RJ,,,JP
YMG,MANITOUWADGE NDB,NDB,ENROUTE,219,,,,,,,,25,49.048472222,-85.900963889,,CY,,,CA
YMH,MARY'S HARBOUR NDB,NDB,ENROUTE,250,,,,,,,,50,52.314572222,-55.831480556,,CY,,,CA
YMJ,MOOSE JAW VORTAC,VORTAC,ENROUTE,113400,81X,1105000,1168000,0,10.000,,,130,50.331111111,-105.563333333,1898,CY,,,CA
YMM,FORT MCMURRAY VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,0,14.000,,,130,56.647222222,-111.122222222,1205,CY,,,CA
YMO,MOOSONEE VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,0,-13.000,,,130,51.291388889,-80.607222222,40,CY,,,CA
YMS,MANS (MANSFIELD) VOR/DME,VOR-DME,ENROUTE,114500,92X,1116000,1179000,0,-9.000,,,125,44.143163889,-80.146419444,1687,CY,,,CA
YMT,CHIBOO (CHIBOUGAMAU) DME,DME,ENROUTE,112100,58X,1082000,1019000,0,,,,125,49.800050000,-74.495683333,1340,CY,,,CA
YMU,UMIUJAQ NDB,NDB,ENROUTE,230,,,,,,,,50,56.537252778,-76.523091667,,CY,,,CA
YMW,MANIWAKI NDB,NDB,ENROUTE,366,,,,,,,,50,46.207625000,-75.956325000,,CY,,,CA
YMX,MIRABEL (MONTREAL) VOR/DME,VOR-DME,ENROUTE,116700,114X,1138000,1201000,0,-15.000,,,130,45.888191667,-74.375700000,1663,CY,,,CA
YN,EREBUNI (YEREVAN) NDB,NDB,TERMINAL,580,,,,,,,,50,40.093138889,44.441583333,,UD,UDYE,,AM
YN,FETCH (YOUNGSTOWN-WARREN) NDB,NDB,TERMINAL,338,,,,,,,,25,41.200527778,-80.596127778,,K5,KYNG,,US
YN,LA ROCHE SUR YON LES AJONCS NDB,NDB,ENROUTE,334,,,,,,,,25,46.689111111,-1.286305556,,LF,,,FR
YNA,NATASH (NATASHQUAN) VOR/DME,VOR-DME,ENROUTE,113600,83X,1107000,1170000,0,-18.000,,,125,50.183611111,-61.780880556,57,CY,,,CA
YNC,WEMINDJI NDB,NDB,ENROUTE,385,,,,,,,,25,53.008586111,-78.824172222,,CY,,,CA
YNE,NORWAY HOUSE NDB,NDB,ENROUTE,207,,,,,,,,50,53.972319444,-97.840191667,,CY,,,CA
YNE,YONAGUNI VOR/DME,VOR-DME,ENROUTE,115050,97Y,1121000,1058000,0,-4.000,,,130,24.464922222,122.997738889,315,RO,,,JP
YNG,YOUNGSTOWN VORTAC,VORTAC,ENROUTE,109000,27X,1051000,988000,0,-5.000,,,40,41.331025000,-80.674663889,1159,K5,,,US
YNI,GS 29,GS,TERMINAL,109300,,,,,,288.752,3.50,18,43.333555556,21.862222222,648,LY,LYNI,29,RS
YNI,ILS 29,ILS-I,TERMINAL,109300,,,,,,288.752,,18,43.335972222,21.852361111,648,LY,LYNI,29,RS
YNI,KONSTANTIN VELIKI DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,43.333527778,21.862222222,665,LY,LYNI,,RS
YNJ,YANJI VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,-9.000,,,130,42.883333333,129.451666667,689,ZY,,,CN
YNN,IOANNINA VOR/DME,VOR-DME,ENROUTE,108600,23X,1047000,984000,0,4.000,,,130,39.700033333,20.821316667,1559,LG,,,GR
YNS,YAOUNDE-NSIMALEN NDB,NDB,ENROUTE,368,,,,,,,,50,3.745750000,11.557138889,,FK,,,CM
YNY,ENDERBY VOR/DME,VOR-DME,ENROUTE,115200,99X,1123000,1186000,0,16.000,,,130,50.677827778,-118.938788889,6647,CY,,,CA
YO,GAOMI NDB,NDB,ENROUTE,443,,,,,,,,50,36.438333333,119.688333333,,ZS,,,CN
YO,OSHAWA DME-ILS,DME-ILS,TERMINAL,111350,50Y,1074000,1137000,0,,,,25,43.918661111,-78.885627778,466,CY,ENRT,,CA
YOC,OLD CROW NDB,NDB,ENROUTE,284,,,,,,,,50,67.571391667,-139.844858333,,CY,,,CA
YOD,COLD LAKE NDB,NDB,ENROUTE,398,,,,,,,,25,54.396944444,-110.271666667,,CY,,,CA
YOE,YAO VOR/DME,VOR-DME,ENROUTE,114600,93X,1117000,1180000,0,-8.000,,,130,34.598458333,135.593705556,101,RJ,,,JP
YOJ,HIGH LEVEL VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,17.000,,,130,58.554261111,-117.093016667,1112,CY,,,CA
YOK,YOKOTA (TOKYO) TACAN,TACAN,ENROUTE,113800,85X,1109000,1172000,0,-7.000,,,130,35.748975000,139.350263889,438,RJ,,,JP
YOL,YOLA VOR/DME,VOR-DME,ENROUTE,115500,102X,1126000,1189000,0,0,,,130,9.292055556,12.424666667,515,DN,,,NG
YOW,OTTAWA VOR/DME,VOR-DME,ENROUTE,114600,93X,1117000,1180000,0,-14.000,,,130,45.441744444,-75.896863889,482,CY,,,CA
YP,YAP DME,DME,ENROUTE,117500,122X,1146000,1209000,0,,,,125,9.499622222,138.088066667,80,PT,,,FM
YP,YAP NDB,NDB,ENROUTE,317,,,,,,,,50,9.499463889,138.088483333,,PT,,,FM
YP,YONPHULA NDB,NDB,ENROUTE,367,,,,,,,,50,27.257863889,91.508633333,,VQ,,,BT
YPA,PRINCE ALBERT VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,10.000,,,125,53.216402778,-105.666483333,1430,CY,,,CA
YPC,PAULATUK NDB,NDB,ENROUTE,276,,,,,,,,50,69.350844444,-124.075486111,,CY,,,CA
YPE,PEACE RIVER VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,0,17.000,,,130,56.206922222,-117.511800000,1919,CY,,,CA
YPG,PORTAGE (PORTAGE LA PRAIR VOR/DME,VOR-DME,ENROUTE,114600,93X,1117000,1180000,0,4.000,,,125,49.899666667,-98.267250000,900,CY,,,CA
YPH,INUKJUAK (INOUCDJOUAC) NDB,NDB,ENROUTE,396,,,,,,,,50,58.467536111,-78.073513889,,CY,,,CA
YPK,PITT MEADOWS VOR,VOR,ENROUTE,112400,,,,,17.000,,,125,49.215933333,-122.714880556,0,CY,,,CA
YPL,PICKLE LAKE NDB,NDB,ENROUTE,382,,,,,,,,50,51.441872222,-90.222269444,,CY,,,CA
YPO,PEAWANUCK NDB,NDB,ENROUTE,401,,,,,,,,50,54.991425000,-85.442422222,,CY,,,CA
YPQ,PETERBOROUGH NDB,NDB,ENROUTE,379,,,,,,,,25,44.212452778,-78.463125000,,CY,,,CA
YPT,IPATINGA DME-ILS,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0,,,,150,-19.474788889,-42.487905556,1034,SB,ENRT,,BR
YPT,IPATINGA NDB,NDB,ENROUTE,1618,,,,,,,,50,-19.463000000,-42.479500000,,SB,,,BR
YPW,POWELL RIVER NDB,NDB,ENROUTE,382,,,,,,,,25,49.836666667,-124.501388889,,CY,,,CA
YPX,PUVIRNITUQ DME,DME,ENROUTE,113500,82X,1106000,1169000,0,,,,125,60.058930556,-77.296736111,129,CY,,,CA
YPX,PUVIRNITUQ NDB,NDB,ENROUTE,338,,,,,,,,50,60.058272222,-77.297436111,,CY,,,CA
YQB,QUEBEC VORTAC,VORTAC,ENROUTE,112800,75X,1099000,1162000,0,-16.000,,,130,46.705308333,-71.626261111,237,CY,,,CA
YQD,THE PAS VOR/DME,VOR-DME,ENROUTE,113600,83X,1107000,1170000,0,6.000,,,130,53.973477778,-101.099908333,910,CY,,,CA
YQF,RED DEER NDB,NDB,ENROUTE,320,,,,,,,,25,52.128316667,-113.899400000,,CY,,,CA
YQG,JINAN VOR/DME,VOR-DME,ENROUTE,113700,84X,1108000,1171000,0,-6.000,,,130,36.833333333,117.215000000,102,ZS,,,CN
YQH,WATSON LAKE VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,0,18.000,,,130,60.086525000,-128.857580556,2509,CY,,,CA
YQI,YARMOUTH VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,-17.000,,,130,43.825113889,-66.082475000,150,CY,,,CA
YQK,KENORA NDB,NDB,ENROUTE,326,,,,,,,,50,49.792444444,-94.424436111,,CY,,,CA
YQL,LETHBRIDGE VOR/DME,VOR-DME,ENROUTE,115700,104X,1128000,1191000,0,13.000,,,130,49.634405556,-112.667883333,3100,CY,,,CA
YQM,MONCTON VOR/DME,VOR-DME,ENROUTE,117300,120X,1144000,1207000,0,-18.000,,,150,46.188888889,-64.570833333,172,CY,,,CA
YQT,THUNDER BAY VOR/DME,VOR-DME,ENROUTE,114100,88X,1112000,1175000,0,-4.000,,,130,48.253888889,-89.437222222,1641,CY,,,CA
YQU,GRANDE PRAIRIE VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,17.000,,,130,55.174208333,-119.030205556,2515,CY,,,CA
YQV,YORKTON VOR/DME,VOR-DME,ENROUTE,115800,105X,1129000,1192000,0,7.000,,,130,51.264055556,-102.468722222,1675,CY,,,CA
YQX,GANDER VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,-20.000,,,150,48.899647222,-54.535011111,612,CY,,,CA
YQY,SYDNEY VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,0,-19.000,,,150,46.153377778,-60.055766667,258,CY,,,CA
YR,GOOSE (GOOSE BAY) NDB,NDB,ENROUTE,257,,,,,,,,50,53.337777778,-60.365833333,,CY,,,CA
YRB,RESOLUTE BAY VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,0,,,125,74.727933333,-94.922730556,603,CY,,,CA
YRC,ST-HONORE NDB,NDB,ENROUTE,213,,,,,,,,25,48.536111111,-71.158333333,,CY,,,CA
YRE,YORON VOR/DME,VOR-DME,ENROUTE,112250,59Y,1083000,1146000,0,-5.000,,,130,27.044375000,128.398025000,74,RO,,,JP
YRI,RIVIERE DU LOUP VOR,VOR,ENROUTE,113900,,,,,-17.000,,,130,47.756477778,-69.588686111,0,CY,,,CA
YRK,YORK VORTAC,VORTAC,ENROUTE,112800,75X,1099000,1162000,0,-5.000,,,40,38.644133333,-82.978338889,1040,K5,,,US
YRL,RED LAKE VOR/DME,VOR-DME,ENROUTE,114000,87X,1111000,1174000,0,0,,,130,51.071552778,-93.762036111,1278,CY,,,CA
YRM,ROCKY MOUNTAIN HOUSE VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,0,16.000,,,130,52.502194444,-115.323563889,3543,CY,,,CA
YRQ,TROIS-RIVIERES NDB,NDB,ENROUTE,205,,,,,,,,25,46.369347222,-72.664744444,,CY,,,CA
YRR,GREELY (OTTAWA) NDB,NDB,ENROUTE,377,,,,,,,,50,45.268077778,-75.573327778,,CY,,,CA
YRT,RANKIN INLET VOR/DME,VOR-DME,ENROUTE,112400,71X,1095000,1158000,0,0,,,125,62.813969444,-92.117338889,137,CY,,,CA
YS,YEOSU NDB,NDB,ENROUTE,396,,,,,,,,50,34.844694444,127.611194444,,RK,,,KR
YS,YUZHNO-SAKHALINSK VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,0,-11.000,,,130,46.863611111,142.716250000,98,UH,,,RU
YSB,SUDBURY VOR/DME,VOR-DME,ENROUTE,112300,70X,1094000,1157000,0,-10.000,,,130,46.629144444,-80.798230556,1171,CY,,,CA
YSC,SHERBROOKE DME,DME,ENROUTE,113200,79X,1103000,1166000,0,,,,130,45.316319444,-71.788108333,919,CY,,,CA
YSE,SHONAI VOR/DME,VOR-DME,ENROUTE,109600,33X,1057000,994000,0,-9.000,,,130,38.810780556,139.799308333,162,RJ,,,JP
YSF,STONY RAPIDS NDB,NDB,ENROUTE,287,,,,,,,,50,59.255097222,-105.831650000,,CY,,,CA
YSJ,SAINT JOHN VOR/DME,VOR-DME,ENROUTE,113500,82X,1106000,1169000,0,-17.000,,,130,45.407222222,-65.870833333,494,CY,,,CA
YSJ,YASOUJ NDB,NDB,ENROUTE,235,,,,,,,,25,30.701250000,51.548833333,,OI,,,IR
YSJ,YASOUJ VOR/DME,VOR-DME,ENROUTE,116550,112Y,1136000,1073000,0,3.000,,,130,30.693333333,51.556694444,5940,OI,,,IR
YSM,FORT SMITH VOR/DME,VOR-DME,ENROUTE,112400,71X,1095000,1158000,0,15.000,,,125,60.020088889,-111.969347222,708,CY,,,CA
YSO,SIMCOE VOR/DME,VOR-DME,ENROUTE,117350,120Y,1144000,1081000,0,-10.000,,,125,44.238463889,-79.171650000,922,CY,,,CA
YSP,MARATHON VOR/DME,VOR-DME,ENROUTE,115900,106X,1130000,1193000,0,-5.000,,,125,48.743425000,-86.327580556,1256,CY,,,CA
YSU,YEOSU VOR/DME,VOR-DME,ENROUTE,115700,104X,1128000,1191000,0,-8.000,,,130,34.842833333,127.618944444,98,RK,,,KR
YSV,ILOPANGO (SAN SALVADOR) VOR/DME,VOR-DME,ENROUTE,116500,112X,1136000,1199000,0,1.000,,,130,13.691330556,-89.116991667,2016,MS,,,SV
YSY,SACHS HARBOUR NDB,NDB,ENROUTE,321,,,,,,,,50,71.991455556,-125.314350000,,CY,,,CA
YT,AALBORG DME-ILS,DME-ILS,TERMINAL,111550,52Y,1076000,1139000,0,,,,25,57.097297222,9.871519444,19,EK,EKYT,,DK
YT,ANTALYA NDB,NDB,TERMINAL,302,,,,,,,,25,36.875722222,30.789305556,,LT,LTAI,,TR
YT,GS 26R,GS,TERMINAL,111550,,,,,,263.263,3.00,18,57.097297222,9.871519444,10,EK,EKYT,26R,DK
YT,ILS 26R,ILS-III,TERMINAL,111550,,,,,,263.263,,18,57.093325000,9.827394444,10,EK,EKYT,26R,DK
YT,INYATHI (BULAWAYO) NDB,NDB,ENROUTE,235,,,,,,,,50,-19.674444444,28.847777778,,FV,,,ZW
YT,USINSK NDB,NDB,TERMINAL,370,,,,,,,,15,65.962277778,57.412305556,,UU,UUYS,,RU
YTA,PEMBROKE NDB,NDB,ENROUTE,409,,,,,,,,50,45.803197222,-77.218225000,,CY,,,CA
YTC,ITACOATIARA NDB,NDB,ENROUTE,320,,,,,,,,50,-3.119666667,-58.481500000,,SB,,,BR
YTE,CAPE DORSET NDB,NDB,ENROUTE,332,,,,,,,,50,64.228611111,-76.528055556,,CY,,,CA
YTE,YAMAGATA VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,-8.000,,,130,38.388622222,140.357952778,361,RJ,,,JP
YTH,THOMPSON VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,0,3.000,,,130,55.810991667,-97.825183333,777,CY,,,CA
YTL,BIG TROUT LAKE NDB,NDB,ENROUTE,328,,,,,,,,50,53.815813889,-89.912902778,,CY,,,CA
YTP,PEARSON (TORONTO) VOR/DME,VOR-DME,ENROUTE,116550,112Y,1136000,1073000,0,-10.000,,,125,43.671683333,-79.664013889,595,CY,,,CA
YTQ,TASIUJAQ NDB,NDB,ENROUTE,212,,,,,,,,25,58.671022222,-69.946525000,,CY,,,CA
YTR,TRENTON NDB,NDB,ENROUTE,215,,,,,,,,25,44.193333333,-77.403333333,,CY,,,CA
YTS,TIMMINS VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,-10.000,,,130,48.572083333,-81.370055556,991,CY,,,CA
YTZ,IMPERATRIZ NDB,NDB,ENROUTE,390,,,,,,,,50,-5.534441667,-47.457155556,,SB,,,BR
YTZ,IMPERATRIZ VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,-20.000,,,125,-5.523888889,-47.449841667,450,SB,,,BR
YU,HUALIEN NDB,NDB,ENROUTE,380,,,,,,,,50,24.017750000,121.627250000,,RC,,,TW
YU,KAPUSKASING DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,130,49.411786111,-82.465091667,762,CY,ENRT,,CA
YU,KASAN NDB,NDB,ENROUTE,365,,,,,,,,75,39.050972222,65.584666667,,UT,,,UZ
YUB,BELGRADE DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,44.826027778,20.295527778,335,LY,LYBE,,RS
YUB,GS 12,GS,TERMINAL,110300,,,,,,122.028,3.00,18,44.826027778,20.295527778,335,LY,LYBE,12,RS
YUB,ILS 12,ILS-III,TERMINAL,110300,,,,,,122.028,,18,44.808361111,20.331888889,335,LY,LYBE,12,RS
YUB,ITAITUBA NDB,NDB,ENROUTE,250,,,,,,,,50,-4.240500000,-56.004666667,,SB,,,BR
YUI,GS 36,GS,TERMINAL,109900,,,,,,004.303,3.20,18,42.350277778,19.252611111,98,LY,LYPG,36,ME
YUI,ILS 36,ILS-I,TERMINAL,109900,,,,,,4.303,,18,42.373138889,19.253277778,98,LY,LYPG,36,ME
YUL,MONTREAL VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,0,-16.000,,,130,45.615741667,-73.970927778,230,CY,,,CA
YUT,REPULSE BAY NDB,NDB,ENROUTE,335,,,,,,,,50,66.528319444,-86.242180556,,CY,,,CA
YUX,HALL BEACH VOR/DME,VOR-DME,ENROUTE,117300,120X,1144000,1207000,0,0,,,125,68.778325000,-81.239400000,39,CY,,,CA
YUY,ROUYN NDB,NDB,ENROUTE,218,,,,,,,,50,48.172911111,-78.938641667,,CY,,,CA
YV,TANGHEKOU NDB,NDB,ENROUTE,514,,,,,,,,50,40.733333333,116.633333333,,ZB,,,CN
YVC,LA RONGE VOR/DME,VOR-DME,ENROUTE,112300,70X,1094000,1157000,0,10.000,,,130,55.158277778,-105.266811111,1341,CY,,,CA
YVE,YONAGO VOR/DME,VOR-DME,ENROUTE,114100,88X,1112000,1175000,0,-7.000,,,130,35.493436111,133.232527778,39,RJ,,,JP
YVL,YEOVIL DME,DME,ENROUTE,109050,27Y,1051000,1114000,0,,,,25,50.940727778,-2.654019444,194,EG,,,GB
