icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
GL5T,,Bombardier,Global 5000,L2J,M,,,,108,,,,,,,,,,,,,,,,,35652,42071,41957,26308,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GL7T,,Bombardier,Global 7000,L2J,M,,,,,,,,,,,,,,,,,,,,,39735,52208,52095,30617,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GLEX,CCX,Bombardier,Global Express,L2J,M,,,,108,,,,,,,,,,,,,,,,,35652,45246,45132,26308,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima009
GLF2,,Grumman,G-1159 Gulfstream II,L2J,M,,,,125,,,,,,,,,,,,,,,,,,,,,
H160,,Airbus Helicopters,H160,H2T,L,,,,,,,,4.91,3.54,,,,,,,,,,,,,,6050,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar516
H25B,H25,British Aerospace,BAe 125-700,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
H25C,H25,British Aerospace,BAe 125-1000,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
H269,,Hughes,269/TH-55 Osage,H1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
H46,,Boeing,CH-46 Sea Knight,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
H47,,Boeing,CH-47 Chinook,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
H500,,MD Helicopters,MD-500,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
H53,,Sikorsky,CH-53 Sea Stallion,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
H53S,,Sikorsky,CH-53E Super Stallion,H3T,M,,,,,,,,,,,,,,,,,,,,,,,,,
H60,,Sikorsky,H-60,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
H64,,Boeing,AH-64 Apache,H2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
HAR,,McDonnell Douglas,AV-8B Harrier II,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
HAWK,,British Aerospace,Hawk,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
HCAT,,Grumman,F6F Hellcat,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
HERN,,De Havilland,DH-114 Heron,L4P,L,,,,,,,,,,,,,,,,,,,,,,,,,
HRNT,,Australian Aircraft Kits,Hornet,L1P,L,,,,46,,,,,,,,,,,,,,,,,,,,,
HUCO,,Bell,AH-1 HueyCobra,H1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
IPAN,,Embraer,EMB 200 Ipanema,L1P,L,,,,65,,,,,,,,,,,,,,,,,,,,,
J2,,Piper,J-2 Cub,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
J3,,Piper,J-3 Cub,L1P,L,,,,43,,,,,,,,,,,,,,,,,,,,,
J328,,Dornier,Do 328-300,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
J4,,Piper,J-4 Cub Coupe,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
J5,,Piper,J-5 Cub Cruiser,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
JCRU,,AASI,Jetcruzer,L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
JPRO,,BAC,145 Jet Provost,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
JS31,J31,British Aerospace,BAe-3100 Jetstream 31,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
JS32,J32,British Aerospace,BAe-3200 Jetstream 32,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
JS41,J41,British Aerospace,BAe-4100 Jetstream 41,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
K35E,,Boeing,KC-135 Stratotanker (TF33 engines),L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
