slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
mlh-vor-dme-wi,MLH,Nagan Raya VOR/DME,VOR-DME,ENROUTE,113700,84X,1108000,1171000,,-1.000,,,125,4.04028,96.25158,7,WI,,,ID
mli-vor-dme-wa,MLI,Alor VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,,1.000,,,130,-8.13336,124.59819,17,WA,,,ID
mlj-vor-dme-zs,MLJ,Moling VOR/DME,VOR-DME,ENROUTE,117050,117Y,1141000,1078000,,-4.000,,,130,31.84500,118.85500,62,ZS,,,CN
mlk-vor-dme-hs,MLK,Malakal VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,3.000,,,130,9.56317,31.65317,1316,HS,,,SS
mlm-vor-dme-mm,MLM,Morelia VOR/DME,VOR-DME,ENROUTE,114600,93X,1117000,1180000,,7.000,,,125,19.84378,-101.03704,6100,MM,,,MX
mln-vor-dme-lf,MLN,Melun Villaroche VOR/DME,VOR-DME,ENROUTE,113600,83X,1107000,1170000,,1.000,,,130,48.45578,2.81328,350,LF,,,FR
mln-vor-dme-lg,MLN,Mitilini VOR/DME,VOR-DME,ENROUTE,109600,33X,1057000,994000,,5.000,,,130,39.05741,26.60054,35,LG,,,GR
mlp-vor-dme-k1,MLP,Mullan Pass VOR/DME,VOR-DME,ENROUTE,117800,125X,1149000,1212000,,15.000,,,130,47.45690,-115.64604,6100,K1,,,US
mls-vor-dme-k1,MLS,Miles City VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,,9.000,,,130,46.38223,-105.95353,2666,K1,,,US
mlt-vor-dme-k6,MLT,Millinocket VOR/DME,VOR-DME,ENROUTE,117900,126X,1150000,1213000,,-20.000,,,130,45.58671,-68.51546,553,K6,,,US
mlt-vor-dme-zj,MLT,Dongmulantou VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,-1.000,,,130,20.15167,110.67333,190,ZJ,,,CN
