slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
okk-vortac-k5,OKK,Kokomo VORTAC,VORTAC,ENROUTE,113500,82X,1106000,1169000,,-5.000,,,130,40.52778,-86.05800,826,K5,,,US
okw-vortac-k7,OKW,Brookwood VORTAC,VORTAC,ENROUTE,111000,47X,1071000,1008000,,0.000,,,40,33.23789,-87.24987,655,K7,,,US
olm-vortac-k1,OLM,Olympia VORTAC,VORTAC,ENROUTE,113400,81X,1105000,1168000,,19.000,,,130,46.97164,-122.90183,200,K1,,,US
omn-vortac-k7,OMN,Ormond Beach VORTAC,VORTAC,ENROUTE,112600,73X,1097000,1160000,,0.000,,,150,29.30325,-81.11270,19,K7,,,US
onc-vortac-ro,ONC,Erabu (Okierabu I) VORTAC,VORTAC,ENROUTE,113100,78X,1102000,1165000,,-5.000,,,130,27.43288,128.69896,218,RO,,,JP
onl-vortac-k3,ONL,O'Neill VORTAC,VORTAC,ENROUTE,113900,86X,1110000,1173000,,10.000,,,130,42.47050,-98.68693,2028,K3,,,US
onm-vortac-k2,ONM,Socorro VORTAC,VORTAC,ENROUTE,116800,115X,1139000,1202000,,13.000,,,130,34.33890,-106.82047,4910,K2,,,US
onp-vortac-k1,ONP,Newport VORTAC,VORTAC,ENROUTE,117100,118X,1142000,1205000,,15.000,,,130,44.57535,-124.06059,147,K1,,,US
ood-vortac-k6,OOD,Woodstown VORTAC,VORTAC,ENROUTE,112800,75X,1099000,1162000,,-10.000,,,40,39.63608,-75.30306,147,K6,,,US
oom-vortac-k5,OOM,Hoosier (Bloomington) VORTAC,VORTAC,ENROUTE,110200,39X,1063000,1000000,,-2.000,,,40,39.14382,-86.61302,845,K5,,,US
orf-vortac-k6,ORF,Norfolk VORTAC,VORTAC,ENROUTE,116900,116X,1140000,1203000,,-7.000,,,150,36.89191,-76.20033,20,K6,,,US
orl-vortac-k7,ORL,Orlando VORTAC,VORTAC,ENROUTE,112200,59X,1083000,1020000,,0.000,,,130,28.54272,-81.33501,102,K7,,,US
ort-vortac-pa,ORT,Northway VORTAC,VORTAC,ENROUTE,116300,110X,1134000,1197000,,24.000,,,130,62.94720,-141.91261,1779,PA,,,US
osh-vortac-k5,OSH,Oshkosh VORTAC,VORTAC,ENROUTE,116750,114Y,1138000,1075000,,2.000,,,130,43.99043,-88.55593,781,K5,,,US
ott-vortac-k6,OTT,Nottingham VORTAC,VORTAC,ENROUTE,113700,84X,1108000,1171000,,-10.000,,,40,38.70587,-76.74475,210,K6,,,US
ovr-vortac-k3,OVR,Omaha VORTAC,VORTAC,ENROUTE,116300,110X,1134000,1197000,,8.000,,,130,41.16717,-95.73685,1300,K3,,,US
pbi-vortac-k7,PBI,Palm Beach VORTAC,VORTAC,ENROUTE,115700,104X,1128000,1191000,,-3.000,,,150,26.68006,-80.08649,16,K7,,,US
pdt-vortac-k1,PDT,Pendleton VORTAC,VORTAC,ENROUTE,114700,94X,1118000,1181000,,14.000,,,130,45.69842,-118.93871,1575,K1,,,US
pdz-vortac-k2,PDZ,Paradise (Ontario) VORTAC,VORTAC,ENROUTE,112200,59X,1083000,1020000,,15.000,,,130,33.91834,-117.53000,1432,K2,,,US
per-vortac-k4,PER,Pioneer (Ponca City) VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,,6.000,,,130,36.74653,-97.16016,1054,K4,,,US
pgo-vortac-k4,PGO,Rich Mountain (Page) VORTAC,VORTAC,ENROUTE,113500,82X,1106000,1169000,,4.000,,,40,34.68046,-94.60900,2700,K4,,,US
pgy-vortac-k2,PGY,Poggi (San Diego) VORTAC,VORTAC,ENROUTE,116450,111Y,1135000,1072000,,14.000,,,130,32.61034,-116.97910,576,K2,,,US
pia-vortac-k5,PIA,Peoria VORTAC,VORTAC,ENROUTE,115200,99X,1123000,1186000,,4.000,,,40,40.68007,-89.79275,731,K5,,,US
pie-vortac-k7,PIE,Saint Petersburg VORTAC,VORTAC,ENROUTE,116400,111X,1135000,1198000,,-5.000,,,150,27.90776,-82.68431,6,K7,,,US
pir-vortac-k3,PIR,Pierre VORTAC,VORTAC,ENROUTE,112500,72X,1096000,1159000,,11.000,,,40,44.39456,-100.16281,1791,K3,,,US
pke-vortac-k2,PKE,Parker VORTAC,VORTAC,ENROUTE,117900,126X,1150000,1213000,,15.000,,,130,34.10197,-114.68207,1000,K2,,,US
pln-vortac-k5,PLN,Pellston VORTAC,VORTAC,ENROUTE,111800,55X,1079000,1016000,,-6.000,,,40,45.63065,-84.66411,835,K5,,,US
pmd-vortac-k2,PMD,Palmdale VORTAC,VORTAC,ENROUTE,114500,92X,1116000,1179000,,15.000,,,130,34.63140,-118.06382,2498,K2,,,US
pnh-vortac-k4,PNH,Panhandle VORTAC,VORTAC,ENROUTE,116600,113X,1137000,1200000,,8.000,,,130,35.23506,-101.69903,3595,K4,,,US
pnz-vortac-li,PNZ,Ponza VORTAC,VORTAC,ENROUTE,114600,93X,1117000,1180000,,3.000,,,130,40.91186,12.95742,682,LI,,,IT
pom-vortac-k2,POM,Pomona VORTAC,VORTAC,ENROUTE,110400,41X,1065000,1002000,,15.000,,,40,34.07839,-117.78708,1266,K2,,,US
prb-vortac-k2,PRB,Paso Robles VORTAC,VORTAC,ENROUTE,114300,90X,1114000,1177000,,16.000,,,40,35.67246,-120.62711,817,K2,,,US
psa-vortac-oe,PSA,Prince Sultan VORTAC,VORTAC,ENROUTE,115400,101X,1125000,1188000,,2.000,,,40,24.07392,47.58328,1600,OE,,,SA
psb-vortac-k6,PSB,Philipsburg VORTAC,VORTAC,ENROUTE,115500,102X,1126000,1189000,,-10.000,,,130,40.91626,-77.99272,2443,K6,,,US
psk-vortac-k6,PSK,Pulaski (Dublin) VORTAC,VORTAC,ENROUTE,116800,115X,1139000,1202000,,-6.000,,,130,37.08771,-80.71290,2120,K6,,,US
psn-vortac-rk,PSN,Busan VORTAC,VORTAC,ENROUTE,114000,87X,1111000,1174000,,-8.000,,,130,35.12250,128.99944,1900,RK,,,KR
